accessionnr	jaar
AAP79971	2001
AAP79973	1997
AAP79975	1997
AAP79977	2001
AAP97867	2003
AAQ04843	1995
AAQ04844	1999
AAQ04845	1999
AAQ04846	1995
AAQ04847	1999
AAQ04848	1999
AAQ04849	1997
AAQ04850	1999
AAQ04851	1998
AAQ04852	2000
AAQ04853	1997
AAQ04854	1998
AAQ04855	1997
AAQ04856	2000
AAQ04857	1999
AAQ04858	1997
AAQ04859	1996
AAQ04860	1999
AAQ04861	1997
AAQ04862	1997
AAQ04863	1996
AAQ10355	1995
AAQ10356	1995
AAQ10357	1995
AAQ10358	1995
AAQ10359	1995
AAQ10360	1995
AAQ10361	1996
AAQ10362	1996
AAQ10363	1996
AAQ10364	1996
AAQ10365	1996
AAQ10366	1996
AAQ10367	1997
AAQ10368	1997
AAQ10369	1997
AAQ10370	1997
AAQ10371	1997
AAQ10372	1999
AAQ10373	1999
AAQ10374	1999
AAQ10375	1999
AAQ10376	1999
AAQ10377	1999
AAQ10378	1999
AAQ10379	1999
AAQ10380	1999
AAQ10381	1999
AAQ10382	1999
AAQ10383	1999
AAQ10384	1999
AAQ10385	1999
AAQ10386	2000
AAQ10387	2000
AAQ10388	2000
AAQ10389	2000
AAQ10390	2000
AAQ10391	2000
AAQ10392	2000
AAQ10393	2000
AAQ10394	2000
AAQ10395	2000
AAQ10396	2000
AAQ10397	2001
AAQ10398	2001
AAQ10399	2001
AAQ10400	2001
AAQ10401	2001
AAQ10402	2001
AAQ18434	1999
AAQ18435	2000
AAQ63104	2001
AAQ63105	2000
AAQ63106	2001
AAQ63107	2000
AAQ63108	2000
AAQ63109	1998
AAQ63110	1998
AAQ63111	1998
AAQ63112	1998
AAQ63113	2000
AAQ63114	2000
AAQ63115	1999
AAQ63116	1999
AAQ63117	2001
AAQ63118	2001
AAQ63119	2000
AAQ67246	2002
AAQ77402	2002
AAQ77403	2002
AAQ77404	2002
AAQ77405	2002
AAQ77406	2002
AAQ77407	2002
AAQ85081	1992
AAQ85082	1992
AAQ85083	1992
AAQ85084	1992
AAQ85085	1993
AAQ85086	1993
AAQ85087	1993
AAQ85088	1993
AAQ85089	1993
AAQ85090	1993
AAQ85091	1995
AAQ86988	2002
AAQ90291	1985
AAQ90292	1977
AAQ92920	2003
AAQ92921	2003
AAQ92922	2003
AAQ92923	2003
AAQ92924	2003
AAQ92925	2003
AAQ92926	2003
AAQ92927	2003
AAQ92928	2003
AAQ92929	2003
AAQ92930	2003
AAQ92931	2003
AAQ97375	1999
AAQ97376	1998
AAQ97377	1999
AAQ97378	2000
AAQ97379	1997
AAR02636	2003
AAR02637	2003
AAR02638	2003
AAR02639	2003
AAR02640	2003
AAR02641	2000
AAR02642	2003
AAR02643	2003
AAR08917	2003
AAR08918	2003
AAR12332	1999
AAR12333	2000
AAR12334	2000
AAR12335	2001
AAR12336	2001
AAR12337	2001
AAR12338	2002
AAR12339	2002
AAR12340	2002
AAR12341	1999
AAR12342	1999
AAR12343	1999
AAR12344	1999
AAR12345	2000
AAR12346	2001
AAR12347	2001
AAR12348	2002
AAR12349	2002
AAR25201	1993
AAR33033	2003
AAR88808	1994
AAR88809	1995
AAR88810	1995
AAR88811	1995
AAR88812	1995
AAR88813	1995
AAR88814	1995
AAR88815	1995
AAR88816	1995
AAR88817	1995
AAR88818	1996
AAR88819	1997
AAR88820	1997
AAR88821	1997
AAR88822	1997
AAR88823	1997
AAR88824	1998
AAR88825	1998
AAR88826	1998
AAR88827	1998
AAR88828	1998
AAR88829	1998
AAR88830	1998
AAR88831	1998
AAR88832	1996
AAR88833	2000
AAR88834	2000
AAR88835	2000
AAR88836	2000
AAR88837	2000
AAR88838	2001
AAR88839	2001
AAR88840	2002
AAR88841	1994
AAR90879	2003
AAR90881	2003
AAR96248	1980
AAR98819	2004
AAR98872	2000
AAR99628	2003
AAS07023	1973
AAS45134	1966
AAS48376	2001
AAS48377	2001
AAS48378	2001
AAS48379	2000
AAS48380	2004
AAS48381	2004
AAS48382	2004
AAS48383	2004
AAS48384	2002
AAS48385	2003
AAS48386	2003
AAS48387	2002
AAS48388	2002
AAS48389	2002
AAS48390	2002
AAS48391	2001
AAS48392	2001
AAS50166	2004
AAS50167	2004
AAS57527	2001
AAS57528	2001
AAS57529	2001
AAS57530	2001
AAS57873	2004
AAS57874	2004
AAS57875	2004
AAS57876	2004
AAS65615	2004
AAS65618	2004
AAS68158	2004
AAS79356	2004
AAS79359	2004
AAS84247	2004
AAS84248	2004
AAS84249	2004
AAS84250	2004
AAS84251	2004
AAS84252	2004
AAS84253	2004
AAS84254	2004
AAS84255	2004
AAS84256	2004
AAS84257	2004
AAS84258	2004
AAS84259	2004
AAS84260	2004
AAS84261	2004
AAS84262	2004
AAS84263	2004
AAS84264	2004
AAS84265	2004
AAS84266	2004
AAS84267	2004
AAS84268	2004
AAS84269	2004
AAS84270	2004
AAS84271	2004
AAS84272	2004
AAS84273	2004
AAS84274	2004
AAS84275	2004
AAS84276	2004
AAS87577	2004
AAS87580	2004
AAS87596	2003
AAS89004	2004
AAS89267	2004
AAS89268	2004
AAS89269	2004
AAS89270	2004
AAS89271	2004
AAS89272	2004
AAS89273	2004
AAS89274	2004
AAS89275	2004
AAS89276	2004
AAS89277	2004
AAS93870	2002
AAS93871	2002
AAS93872	2002
AAS93873	2002
AAS93874	2002
AAS93875	2002
AAS93876	2002
AAS93877	2002
AAS93878	2002
AAS93879	2002
AAS93880	2002
AAS93881	2002
AAS93882	2002
AAS93883	2002
AAS93884	2002
AAT00436	2001
AAT00437	1999
AAT00438	1998
AAT02538	2004
AAT07996	2003
AAT07998	2003
AAT08000	2003
AAT08002	1999
AAT08004	1969
AAT09637	2002
AAT09638	2002
AAT09639	2002
AAT09640	2002
AAT09641	2002
AAT09642	2002
AAT12022	2002
AAT12023	2002
AAT12024	2000
AAT12025	2001
AAT12026	2000
AAT12027	2002
AAT12028	1999
AAT12029	2001
AAT12030	2001
AAT12031	2002
AAT12032	2001
AAT12033	2002
AAT12034	2002
AAT12035	2001
AAT12036	2000
AAT12037	2001
AAT12038	2000
