accessionnr	uit
AAN46827	Swine
AAN63953	Human
AAN63954	Human
AAN63955	Human
AAN63956	Human
AAN63957	Human
AAN63958	Human
AAN64892	Human
AAN64893	Human
AAN64894	Human
AAN64895	Human
AAN64896	Human
AAN64897	Human
AAN64898	Human
AAN64899	Human
AAN64900	Human
AAN64901	Human
AAN64902	Human
AAN64903	Human
AAN64904	Human
AAN64905	Human
AAN83926	Avian
AAN83927	Avian
AAN83928	Avian
AAN83929	Avian
AAN83930	Avian
AAN83931	Avian
AAN83932	Avian
AAN83933	Avian
AAN83934	Avian
AAN83935	Avian
AAN83936	Avian
AAN83937	Avian
AAN83938	Avian
AAN83939	Avian
AAN83940	Avian
AAN83941	Avian
AAN83942	Avian
AAN83943	Avian
AAN83944	Avian
AAN83945	Avian
AAN83946	Avian
AAN83947	Avian
AAN83948	Avian
AAN83949	Avian
AAN83950	Avian
AAN83951	Avian
AAN83952	Avian
AAN83953	Avian
AAN83954	Avian
AAN83955	Avian
AAN83956	Avian
AAN83957	Avian
AAN83958	Avian
AAN83959	Avian
AAN83960	Avian
AAN83961	Avian
AAN83962	Avian
AAN83963	Avian
AAN83964	Avian
AAN83965	Avian
AAN83966	Avian
AAN83967	Avian
AAN83968	Avian
AAN83969	Avian
AAN83970	Avian
AAN83971	Avian
AAN83972	Avian
AAN83973	Avian
AAN83974	Avian
AAN83975	Avian
AAN83976	Avian
AAN83977	Avian
AAN83978	Avian
AAN83979	Avian
AAN83980	Avian
AAN83981	Avian
AAN83982	Avian
AAN83983	Avian
AAN83984	Avian
AAN83985	Avian
AAN83986	Avian
AAN83987	Avian
AAN83988	Avian
AAO15354	Swine
AAO15355	Swine
AAO15356	Swine
AAO15357	Swine
AAO33479	Avian
AAO33480	Avian
AAO33481	Avian
AAO33482	Avian
AAO33483	Avian
AAO33484	Avian
AAO33485	Avian
AAO33486	Avian
AAO33487	Avian
AAO33488	Avian
AAO46077	Avian
AAO46078	Avian
AAO46079	Avian
AAO46080	Avian
AAO46081	Avian
AAO46082	Avian
AAO46083	Avian
AAO46084	Avian
AAO46085	Avian
AAO46086	Avian
AAO46268	Human
AAO46269	Human
AAO46270	Human
AAO46271	Human
AAO46272	Human
AAO46273	Human
AAO46274	Human
AAO46275	Human
AAO46276	Human
AAO46277	Human
AAO46278	Human
AAO46279	Human
AAO46280	Human
AAO46281	Human
AAO46282	Human
AAO46283	Human
AAO46284	Human
AAO46285	Human
AAO46286	Human
AAO46287	Human
AAO46288	Human
AAO46289	Human
AAO46290	Human
